character_id,character_name,game,current_tag_1,current_tag_2,current_tag_3,alt_tag_1,alt_tag_2,alt_tag_3,confidence,review_reason,status,review_action,review_note
C022,光森壱哉,百密一疏少女心,脆弱感,高拉扯,直球主动,高依赖,高情绪浓度,年上感,B_REVIEW,COMPOSITION_EXCEPTION,HUMAN_CALIBRATED,KEEP,CALIBRATION_REVIEW_KEEP
C023,淡雪,璃梦泡影之世外浮城,理性沉稳,成熟可靠,陪伴成长,刺激型,慢热,高奉献,B,,AUTO_MIGRATION_READY,,
C024,Allan Melville,Cupid Parasite,腹黑,色气,唯一例外,宿命感,高情绪浓度,年上感,B,,AUTO_MIGRATION_READY,,
C025,平重衡,毘卢遮那战姬,疯感,危险系,强占有,高拉扯,高情绪浓度,刺激型,B,,AUTO_MIGRATION_READY,,
C026,YOFY,SympathyKiss,少年感,控制型,强占有,强嫉妒,高依赖,高情绪浓度,B_REVIEW,COMPOSITION_EXCEPTION,HUMAN_CALIBRATED,KEEP,CALIBRATION_REVIEW_KEEP
C027,终夜,CLOCK ZERO,神秘系,宿命感,强守护,高奉献,低表达,成熟可靠,B_REVIEW,COMPOSITION_EXCEPTION,AUTO_APPROVED_BY_CALIBRATION,AUTO_APPROVED_BY_CALIBRATION,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE
C028,赫泽尔,灾厄黑龙与谎言公主,危险系,非人感,高拉扯,高情绪浓度,刺激型,高奉献,B,,AUTO_MIGRATION_READY,,
C029,鹭泽累,冷然之天秤,理性沉稳,神秘系,高拉扯,高依赖,高情绪浓度,温柔,B,,AUTO_MIGRATION_READY,,
C030,小菊,天狱乱斗,阳光,陪伴成长,强守护,高奉献,并肩恋爱,成熟可靠,B_REVIEW,COMPOSITION_EXCEPTION,AUTO_APPROVED_BY_CALIBRATION,AUTO_APPROVED_BY_CALIBRATION,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE
C031,濑见季继,第六妖守,腹黑,成熟可靠,陪伴成长,稳定恋爱,并肩恋爱,年上感,B,,AUTO_MIGRATION_READY,,
C032,Mathis Claude,终远的威尔修,脆弱感,少年感,救赎感,慢热,高奉献,低表达,B,,AUTO_MIGRATION_READY,,
C033,Toma,AMNESIA: Memories,反差萌,危险系,高依赖,救赎感,高情绪浓度,年上感,B,,AUTO_MIGRATION_READY,,
C034,Kuroba,奥林匹亚的晚宴,成熟可靠,阳光,陪伴成长,稳定恋爱,并肩恋爱,年上感,B,严格热血门槛人工巡检,HUMAN_CALIBRATED,REPLACE,热血→成熟可靠; strict heat threshold
C035,Victor Frankenstein,Code:Realize ～创世的姬君～,理性沉稳,温柔,稳定恋爱,并肩恋爱,年上感,成熟可靠,B_REVIEW,GENERIC_TAG_DOMINANCE,HUMAN_CALIBRATED,KEEP,CALIBRATION_REVIEW_KEEP
C036,Noritsune Taira,毘卢遮那战姬 ～源平飞花梦想～,少年感,直球主动,刺激型,高奉献,并肩恋爱,,B_REVIEW,COMPOSITION_EXCEPTION,AUTO_APPROVED_BY_CALIBRATION,AUTO_APPROVED_BY_CALIBRATION,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE
C037,Zenn Sorfield,even if TEMPEST,温柔,年上感,陪伴成长,强守护,并肩恋爱,成熟可靠,B_REVIEW,GENERIC_TAG_DOMINANCE,HUMAN_CALIBRATED,KEEP,CALIBRATION_REVIEW_KEEP
C038,Lucas Proust,终远的威尔修,危险系,温柔,高拉扯,救赎感,高情绪浓度,年上感,B,,AUTO_MIGRATION_READY,,
C039,Ukyo,AMNESIA: Memories,反差萌,危险系,高拉扯,救赎感,神秘系,年上感,B,,AUTO_MIGRATION_READY,,
C040,Ryuki F. Keisaiin,Cupid Parasite,反差萌,毒舌,欢喜冤家,慢热,傲娇,少年感,B,,AUTO_MIGRATION_READY,,
C041,Shelby Snail,Cupid Parasite,理性沉稳,成熟可靠,慢热,稳定恋爱,低表达,年上感,B,,AUTO_MIGRATION_READY,,
C042,Dante Falzone,虔诚之花的晚钟,冷感,成熟可靠,强守护,高奉献,低表达,年上感,B,,AUTO_MIGRATION_READY,,
C043,Saint-Germain,Code:Realize ～创世的姬君～,腹黑,神秘系,救赎感,高情绪浓度,低表达,成熟可靠,B,,AUTO_MIGRATION_READY,,
C044,Tokisada Amakusa,奥林匹亚的晚宴,少年感,阳光,直球主动,高情绪浓度,高奉献,少年感,B_REVIEW,严格热血门槛人工巡检,HUMAN_CALIBRATED,REPLACE,热血→少年感; strict heat threshold
C045,Gill Lovecraft,Cupid Parasite,温柔,年上感,强嫉妒,高依赖,陪伴成长,高奉献,B_REVIEW,GENERIC_TAG_DOMINANCE,HUMAN_CALIBRATED,KEEP,CALIBRATION_REVIEW_KEEP
C046,Lucien Neuschburn,even if TEMPEST,少年感,温柔,高奉献,低表达,成熟可靠,,B,,AUTO_MIGRATION_READY,,
C047,Scien Brofiise,终远的威尔修,冷感,理性沉稳,低表达,精英感,并肩恋爱,年上感,B,,AUTO_MIGRATION_READY,,
C048,Abraham Van Helsing,Code:Realize ～创世的姬君～,冷感,成熟可靠,高拉扯,救赎感,低表达,并肩恋爱,B,,AUTO_MIGRATION_READY,,
C049,Tomomori Taira,毘卢遮那战姬 ～源平飞花梦想～,危险系,腹黑,高拉扯,高情绪浓度,刺激型,年上感,B,,AUTO_MIGRATION_READY,,
C050,Ikki,AMNESIA: Memories,色气,直球主动,慢热,高奉献,稳定恋爱,年上感,B_REVIEW,COMPOSITION_EXCEPTION,AUTO_APPROVED_BY_CALIBRATION,AUTO_APPROVED_BY_CALIBRATION,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE
C051,Ankou,终远的威尔修,冷感,神秘系,救赎感,高情绪浓度,年上感,成熟可靠,B,,AUTO_MIGRATION_READY,,
C052,Raul Aconite,Cupid Parasite,热血,阳光,直球主动,色气,稳定恋爱,年上感,B_REVIEW,TEMPLATE_COMBINATION_CHECK,HUMAN_CALIBRATED,KEEP,CALIBRATION_REVIEW_KEEP
C053,Riku,奥林匹亚的晚宴,冷感,傲娇,欢喜冤家,慢热,低表达,成熟可靠,B,,AUTO_MIGRATION_READY,,
C054,Shion Mayuzumi,Variable Barricade,理性沉稳,稳定恋爱,,低表达,年上感,成熟可靠,B_REVIEW,COMPOSITION_EXCEPTION,AUTO_APPROVED_BY_CALIBRATION,AUTO_APPROVED_BY_CALIBRATION,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE
C055,Nayuta Yagami,Variable Barricade,天然,少年感,直球主动,高依赖,温柔,,B,,AUTO_MIGRATION_READY,,
C056,Taiga Isurugi,Variable Barricade,毒舌,强者感,直球主动,欢喜冤家,稳定恋爱,年上感,B,,AUTO_MIGRATION_READY,,
C057,Suzu Orimaki,Jack Jeanne,阳光,少年感,直球主动,陪伴成长,高奉献,温柔,B,,AUTO_MIGRATION_READY,,
C058,Kai Mutsumi,Jack Jeanne,温柔,成熟可靠,陪伴成长,慢热,低表达,并肩恋爱,B_REVIEW,GENERIC_TAG_DOMINANCE,HUMAN_CALIBRATED,KEEP,CALIBRATION_REVIEW_KEEP
C059,Sarafumi Takashina,Jack Jeanne,理性沉稳,精英感,陪伴成长,并肩恋爱,成熟可靠,,B,,AUTO_MIGRATION_READY,,
C060,Hira,第六妖守,非人感,冷感,慢热,理性沉稳,低表达,年上感,B,,AUTO_MIGRATION_READY,,
C061,Shiratsuki,第六妖守,非人感,天然,直球主动,陪伴成长,少年感,,B,,AUTO_MIGRATION_READY,,
C062,Noel Valmore,Wand of Fortune R,傲娇,少年感,欢喜冤家,慢热,高奉献,,B,,AUTO_MIGRATION_READY,,
C063,Est Rinaudo,Wand of Fortune R,毒舌,冷感,救赎感,理性沉稳,精英感,低表达,B,,AUTO_MIGRATION_READY,,
C064,Alvaro Garay,Wand of Fortune R,危险系,腹黑,唯一例外,色气,并肩恋爱,年上感,B,,AUTO_MIGRATION_READY,,
C065,Cinderella,大正对称爱丽丝 episode I,傲娇,欢喜冤家,稳定恋爱,年上感,,,B_REVIEW,COMPOSITION_EXCEPTION,AUTO_APPROVED_BY_CALIBRATION,AUTO_APPROVED_BY_CALIBRATION,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE
C066,Red Riding Hood,大正对称爱丽丝 episode I,少年感,慢热,高奉献,低表达,年上感,成熟可靠,B_REVIEW,COMPOSITION_EXCEPTION,AUTO_APPROVED_BY_CALIBRATION,AUTO_APPROVED_BY_CALIBRATION,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE
C067,Shogo Ukai,冷然之天秤 帝都幻惑绮谭,傲娇,少年感,直球主动,陪伴成长,欢喜冤家,,B,,AUTO_MIGRATION_READY,,
C068,Shizuru Migiwa,冷然之天秤 帝都幻惑绮谭,理性沉稳,色气,直球主动,稳定恋爱,年上感,,B,,AUTO_MIGRATION_READY,,
C069,Himeutsugi,花合朔 -姬空木篇-,危险系,腹黑,高拉扯,高情绪浓度,神秘系,温柔,B,,AUTO_MIGRATION_READY,,
C070,Mizuchi,花合朔 -蛟篇-,冷感,慢热,高奉献,高拉扯,低表达,成熟可靠,B_REVIEW,COMPOSITION_EXCEPTION,AUTO_APPROVED_BY_CALIBRATION,AUTO_APPROVED_BY_CALIBRATION,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE
C071,Riichiro Kaga,CLOCK ZERO ～终焉之一秒～,冷感,理性沉稳,慢热,傲娇,少年感,低表达,B,,AUTO_MIGRATION_READY,,
C072,Madoka Hanabusa,CLOCK ZERO ～终焉之一秒～,腹黑,精英感,高拉扯,宿命感,神秘系,少年感,B,,AUTO_MIGRATION_READY,,
C073,Toranosuke Saionji,CLOCK ZERO ～终焉之一秒～,强者感,少年感,直球主动,陪伴成长,欢喜冤家,,B,,AUTO_MIGRATION_READY,,
C074,Shunsou Hishida,明治东京恋伽,冷感,少年感,陪伴成长,慢热,低表达,,B,,AUTO_MIGRATION_READY,,
C075,Ougai Mori,明治东京恋伽,理性沉稳,精英感,直球主动,稳定恋爱,年上感,成熟可靠,B,,AUTO_MIGRATION_READY,,
C076,Yakumo Koizumi,明治东京恋伽,温柔,阳光,直球主动,稳定恋爱,温柔,年上感,B_REVIEW,严格热血门槛人工巡检,HUMAN_CALIBRATED,REPLACE,热血→温柔; strict heat threshold
C077,Mitsuki Saotome,SympathyKiss 共鸣之吻,理性沉稳,成熟可靠,稳定恋爱,低表达,并肩恋爱,,B_REVIEW,GENERIC_TAG_DOMINANCE,HUMAN_CALIBRATED,KEEP,CALIBRATION_REVIEW_KEEP
C078,Nori Tainaka,SympathyKiss 共鸣之吻,阳光,温柔,直球主动,稳定恋爱,年上感,,B,,AUTO_MIGRATION_READY,,
C079,Arsène Lupin,Code:Realize ～创世的姬君～,精英感,阳光,陪伴成长,天然,精英感,并肩恋爱,B,严格热血门槛人工巡检,HUMAN_CALIBRATED,REPLACE,热血→精英感; strict heat threshold
C080,Kageyuki Shiraishi,Collar×Malice,腹黑,神秘系,救赎感,高情绪浓度,低表达,成熟可靠,B,,AUTO_MIGRATION_READY,,
C081,Peter Flage,共生丘比特,反差萌,神秘系,高奉献,高拉扯,年上感,,B,,AUTO_MIGRATION_READY,,
C082,Akaza,奥林匹亚的晚宴,冷感,成熟可靠,强守护,高奉献,低表达,年上感,B,,AUTO_MIGRATION_READY,,
C083,Himuka,奥林匹亚的晚宴,脆弱感,少年感,救赎感,慢热,高奉献,低表达,B,,AUTO_MIGRATION_READY,,
C084,Orlok,虔诚之花的晚钟 -ricordo-,脆弱感,少年感,救赎感,慢热,高奉献,低表达,B,,AUTO_MIGRATION_READY,,
C085,Koyo Akizuki,9 R.I.P.,温柔,成熟可靠,陪伴成长,强守护,并肩恋爱,年上感,B_REVIEW,GENERIC_TAG_DOMINANCE,HUMAN_CALIBRATED,KEEP,CALIBRATION_REVIEW_KEEP
C086,Sena Mizukagami,9 R.I.P.,少年感,温柔,直球主动,高依赖,高情绪浓度,,B,,AUTO_MIGRATION_READY,,
C087,Minami,9 R.I.P.,疯感,危险系,高拉扯,高情绪浓度,刺激型,高奉献,B,,AUTO_MIGRATION_READY,,
C088,Seiya,9 R.I.P.,冷感,成熟可靠,强守护,高奉献,低表达,年上感,B,,AUTO_MIGRATION_READY,,
C089,Yukimaro,9 R.I.P.,阳光,非人感,宿命感,直球主动,陪伴成长,高奉献,B,严格热血门槛人工巡检,HUMAN_CALIBRATED,REPLACE,热血→阳光; strict heat threshold
C090,Koharu,9 R.I.P.,非人感,温柔,陪伴成长,高奉献,并肩恋爱,成熟可靠,B,,AUTO_MIGRATION_READY,,
C091,Kent,失忆症,理性沉稳,成熟可靠,慢热,稳定恋爱,低表达,年上感,B,,AUTO_MIGRATION_READY,,
C092,Henri Lambert,虔诚之花的晚钟 -Episodio1926-,神秘系,脆弱感,救赎感,,,,HUMAN_CONFIRMED,,HUMAN_CALIBRATED,KEEP,v6.6B.1 identity index append
C093,Merenice Levin,共生丘比特 -Sweet & Spicy Darling.-,阳光,反差萌,直球主动,,,,HUMAN_CONFIRMED,,HUMAN_CALIBRATED,KEEP,v6.6B.1 identity index append
C094,Zafora,绚烂传说马戏团 -A Fanfare!-,毒舌,理性沉稳,欢喜冤家,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C095,Paschalia,绚烂传说马戏团 -A Fanfare!-,温柔,天然,治愈系,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C096,Ion,绚烂传说马戏团 -A Fanfare!-,强者感,温柔,强守护,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C097,Radie,绚烂传说马戏团 -A Fanfare!-,非人感,成熟可靠,陪伴成长,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C105,明瀬京也,CharadeManiacs,阳光,成熟可靠,直球主动,,,,A,严格热血门槛人工巡检,HUMAN_CALIBRATED,REPLACE,热血→成熟可靠; strict heat threshold
C106,萬城朋世,CharadeManiacs,冷感,少年感,强占有,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C107,茅ヶ裂守,CharadeManiacs,温柔,成熟可靠,治愈系,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C108,陀宰明,CharadeManiacs,冷感,脆弱感,慢热,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C109,獲端圭,CharadeManiacs,毒舌,傲娇,高拉扯,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C110,双巳良一,CharadeManiacs,成熟可靠,温柔,稳定恋爱,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C111,凝部奏汰,CharadeManiacs,天然,少年感,直球主动,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C112,廃寺拓海,CharadeManiacs,冷感,神秘系,高拉扯,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C113,射落水樹,CharadeManiacs,色气,神秘系,刺激型,,,,HUMAN_CONFIRMED,,HUMAN_CALIBRATED,KEEP,v6.6B.1 identity index append
C114,フェイ,茉莉花之炯 天命胤异传,阳光,成熟可靠,宿命感,,,,A,热血未达到峰雄式高外放阈值,HUMAN_CALIBRATED,REPLACE,热血→成熟可靠；直球主动→宿命感
C115,ルヲ,茉莉花之炯 天命胤异传,温柔,理性沉稳,慢热,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C116,ゼベネラ,茉莉花之炯 天命胤异传,危险系,腹黑,高拉扯,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C117,玖 燕來,茉莉花之炯 天命胤异传,成熟可靠,强者感,强守护,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C118,胡 青凛,茉莉花之炯 天命胤异传,冷感,精英感,慢热,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C119,カルマ,茉莉花之炯 天命胤异传,神秘系,非人感,宿命感,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C120,Alfred Cresswell,米斯托尼亚的翅望,成熟可靠,温柔,稳定恋爱,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C121,Lucas Sullivan,米斯托尼亚的翅望,阳光,少年感,直球主动,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C122,Ascot Lindel,米斯托尼亚的翅望,毒舌,精英感,高拉扯,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C123,John,米斯托尼亚的翅望,冷感,强者感,慢热,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C124,Linus Ward,米斯托尼亚的翅望,色气,腹黑,高拉扯,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C125,Edward Bernstein,米斯托尼亚的翅望,成熟可靠,神秘系,宿命感,,,,HUMAN_CONFIRMED,,HUMAN_CALIBRATED,KEEP,v6.6B.1 identity index append
C126,紫鳶,Cendrillon palikA,冷感,精英感,慢热,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C127,憂漣,Cendrillon palikA,温柔,脆弱感,治愈系,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C128,廻螺,Cendrillon palikA,毒舌,傲娇,欢喜冤家,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C129,黒禰,Cendrillon palikA,危险系,疯感,刺激型,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C130,綸燈,Cendrillon palikA,成熟可靠,温柔,稳定恋爱,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C131,泣虎,Cendrillon palikA,阳光,少年感,直球主动,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C132,歌紫歌,Cendrillon palikA,神秘系,非人感,宿命感,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C133,劉備,十三支演义 偃月三国传 1・2,少年感,温柔,陪伴成长,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C134,張飛,十三支演义 偃月三国传 1・2,热血,阳光,直球主动,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C135,趙雲,十三支演义 偃月三国传 1・2,成熟可靠,强者感,强守护,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C136,曹操,十三支演义 偃月三国传 1・2,精英感,危险系,强占有,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C137,夏侯惇,十三支演义 偃月三国传 1・2,傲娇,强者感,欢喜冤家,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C138,張遼,十三支演义 偃月三国传 1・2,温柔,天然,治愈系,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C139,細波エース,如果世界上有神明存在的话,冷感,温柔,低表达,,,,A,隐藏热情不等于外放热血,HUMAN_CALIBRATED,REPLACE,阳光→冷感；热血→温柔；直球主动→低表达
C140,弓倉ネジ,如果世界上有神明存在的话,毒舌,理性沉稳,慢热,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C141,神里キョウ,如果世界上有神明存在的话,冷感,神秘系,高拉扯,,,,HUMAN_CONFIRMED,,HUMAN_CALIBRATED,KEEP,v6.6B.1 identity index append
C142,指乃シュリ,如果世界上有神明存在的话,温柔,脆弱感,救赎感,,,,HUMAN_CONFIRMED,,HUMAN_CALIBRATED,KEEP,v6.6B.1 identity index append
C163,Limbo Fitzgerald,BUSTAFELLOWS,阳光,成熟可靠,直球主动,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C164,Shu,BUSTAFELLOWS,冷感,强者感,慢热,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C165,Helvetica,BUSTAFELLOWS,色气,精英感,直球主动,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C166,Mozu,BUSTAFELLOWS,冷感,天然,慢热,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C167,Scarecrow,BUSTAFELLOWS,天然,少年感,陪伴成长,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C186,迦具土ヒノ,7'scarlet,阳光,成熟可靠,强守护,,,,A,严格热血门槛人工巡检,HUMAN_CALIBRATED,REPLACE,热血→阳光; strict heat threshold
C187,甘梨イソラ,7'scarlet,阳光,少年感,直球主动,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C188,櫛奈雫トア,7'scarlet,天然,脆弱感,治愈系,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C189,建比良ソウスケ,7'scarlet,理性沉稳,精英感,慢热,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C190,叢雲ユヅキ,7'scarlet,成熟可靠,冷感,强守护,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C191,緋影,黑蝶幻境,冷感,神秘系,高拉扯,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C192,鴉翅,黑蝶幻境,阳光,腹黑,直球主动,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C193,山都,黑蝶幻境,傲娇,少年感,欢喜冤家,,,,A,严格热血门槛人工巡检,HUMAN_CALIBRATED,REPLACE,热血→少年感; strict heat threshold
C194,紋白,黑蝶幻境,温柔,脆弱感,治愈系,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C195,鉤翅,黑蝶幻境,温柔,成熟可靠,强守护,,,,HUMAN_CONFIRMED,,HUMAN_CALIBRATED,KEEP,v6.6B.1 identity index append
C196,ラヴァン,灰鹰幻境,阳光,少年感,陪伴成长,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C197,レビ,灰鹰幻境,成熟可靠,温柔,强守护,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C198,ルーガス,灰鹰幻境,冷感,强者感,慢热,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C199,ヒュー,灰鹰幻境,神秘系,色气,高拉扯,,,,HUMAN_CONFIRMED,,HUMAN_CALIBRATED,KEEP,v6.6B.1 identity index append
C319,斯波純一,蝶之毒 华之锁,色气,精英感,直球主动,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C320,野宮瑞人,蝶之毒 华之锁,色气,脆弱感,高依赖,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C321,藤田均,蝶之毒 华之锁,温柔,成熟可靠,高奉献,,,,A,,AUTO_PASS,,v6.6B.1 identity index append
C322,尾崎秀雄,蝶之毒 华之锁,傲娇,少年感,欢喜冤家,,,,A,严格热血门槛人工巡检,HUMAN_CALIBRATED,REPLACE,热血→少年感; strict heat threshold
C098,Benkei Musashibo,毘卢遮那战姬 ～一树之风～,成熟可靠,温柔,强守护,,,,A,,AUTO_PASS,,v6.6C identity index append
C099,Shungen,毘卢遮那战姬 ～一树之风～,温柔,少年感,陪伴成长,,,,A,,AUTO_PASS,,v6.6C identity index append
C100,Yoritomo Minamoto,毘卢遮那战姬 ～一树之风～,冷感,强者感,高拉扯,,,,A,,AUTO_PASS,,v6.6C identity index append
C101,Tadanobu Sato,毘卢遮那战姬 ～一树之风～,热血,阳光,直球主动,,,,A,,AUTO_PASS,,v6.6C identity index append
C102,Tsugunobu Sato,毘卢遮那战姬 ～一树之风～,温柔,理性沉稳,高奉献,,,,A,,AUTO_PASS,,v6.6C identity index append
C154,結賀駆,NORN9 LAST ERA,阳光,腹黑,直球主动,,,,A,严格热血门槛人工巡检,HUMAN_CALIBRATED,REPLACE,热血→腹黑; strict heat threshold
C155,市ノ瀬千里,NORN9 LAST ERA,冷感,少年感,高依赖,,,,A,,AUTO_PASS,,v6.6C identity index append
C156,遠矢正宗,NORN9 LAST ERA,成熟可靠,理性沉稳,稳定恋爱,,,,A,,AUTO_PASS,,v6.6C identity index append
C158,二条朔也,NORN9 LAST ERA,温柔,脆弱感,救赎感,,,,A,,AUTO_PASS,,v6.6C identity index append
