"canonical_tag","category","definition","include_when","do_not_use_when","synonyms","spoiler_risk","deprecated_aliases","governance_status"
"低表达","C_ROMANCE_DYNAMIC","有明确感情但长期以极低外显方式去爱","低表达本身显著塑造恋爱体验","只因安静或慢热或表达度略低","克制型;寡言爱","low","","ACTIVE"
"治愈系","D_RELATIONSHIP_EXPERIENCE","关系带来稳定安抚与修复体验","相处核心是温和修复","仅角色温柔","治愈感;疗愈系","low","","ACTIVE"
"宿命感","D_RELATIONSHIP_EXPERIENCE","命运连接持续塑造恋爱关系","命定结构是主要关系体验","只有巧合相遇","宿命;灵魂伴侣","medium","","ACTIVE"
"欢喜冤家","D_RELATIONSHIP_EXPERIENCE","争执与默契共同构成轻快亲密体验","对抗互动反复且非伤害性","真正敌对或高风险拉扯","斗嘴情侣","low","","ACTIVE"
"陪伴成长","D_RELATIONSHIP_EXPERIENCE","双方在长期陪伴中共同成长","成长与陪伴同时成立","只有一方被拯救","陪伴型;从朋友到恋人","low","","ACTIVE"
"救赎感","D_RELATIONSHIP_EXPERIENCE","关系显著改变创伤或困境走向","救赎是核心结构且避免剧透","一般支持行为","救赎;救赎型","medium","","ACTIVE"
"刺激型","D_RELATIONSHIP_EXPERIENCE","风险与不确定性带来强刺激体验","危险事件直接塑造恋爱感受","只有动作剧情","禁断感;敌对恋爱;相爱相杀","medium","","ACTIVE"
"稳定恋爱","D_RELATIONSHIP_EXPERIENCE","关系安全可预期且低控制低拉扯","稳定互信持续成立","只有低危险","安全型恋爱;成年人恋爱;琴瑟和鸣","low","","ACTIVE"
"高情绪浓度","D_RELATIONSHIP_EXPERIENCE","路线持续提供强烈情绪峰值","高情绪强度贯穿主要关系","单个高潮事件","强情绪浓度;浓烈恋爱","medium","","ACTIVE"
"并肩恋爱","D_RELATIONSHIP_EXPERIENCE","双方以平等伙伴身份共同承担并由此建立亲密","伙伴感与共同承担反复成为恋爱主轴","正常合作或共同解决剧情或仅是队友","并肩作战;双强;共犯","low","","VALID_BUT_REVIEW_REQUIRED"
"唯一例外","D_RELATIONSHIP_EXPERIENCE","角色只为女主打破稳定原则或边界","例外性清楚且持续","普通偏爱","唯一例外;烂人真心","medium","","ACTIVE"
