character_id,character_name,game,series,route_type,visual_maturity,physical_presence,hair_length,hair_color,eye_tags,appearance_details,visual_vibe_tags,warmth,extroversion,emotional_expression,personality_maturity,humor,cunning,emotional_stability,personality_tags,danger_level,mystery_level,gap_moe,age_position_tags,role_fantasy_tags,relationship_trope_tags,archetype_tags,initiative,possessiveness,protectiveness,dependence,jealousy,push_pull,devotion,control,romance_tags,keywords
C012,Crius Castlerock,even if TEMPEST,even if TEMPEST,攻略角色,4.5,4,短发,金发,,,贵气;精英感,4,4.5,3,4.5,3.5,4,4,沉稳;责任感强;腹黑,2,3,4.5,年上,骑士,并肩作战,可靠系;保护者;人夫感,4.5,4,4.5,4,4,3,5,2.5,高亲密需求;成年人恋爱;纯爱,
C013,响,9 R.I.P.,9 R.I.P.,攻略角色,2,2,,,,,,3.5,1.5,3,2.5,2,2.5,2,,4,3.5,4.5,,幽灵,救赎;禁忌之恋,病娇,4.5,5,4,5,3.5,5,4,4,禁断感;强情绪浓度,
C014,Impey Barbicane,Code:Realize,Code:Realize,攻略角色,3.5,4,,红发,,护目镜,,4.5,5,5,4,5,1.5,4,阳光;天然;责任感强,2,2,4,,工程师,并肩作战,犬系;天才;表面轻浮实则认真,5,2,4,2.5,2,1.5,4.5,1,陪伴型;纯爱,
C015,Tyril I Lister,even if TEMPEST,even if TEMPEST,攻略角色,3.5,3,,,,,,3,2.5,2,4.5,3.5,5,4,毒舌;傲娇;理性;责任感强,3.5,4.5,4,,审讯官,并肩作战,天才;高岭之花,2.5,3,4,2,2.5,4,4.5,2.5,慢热;克制型;拉扯型,
C016,真島芳樹,蝶之毒 華之鎖,蝶之毒 華之鎖,攻略角色,3.5,3,,,,,,2.5,2,2,3.5,2,5,3,沉稳;理性;腹黑;偏执,5,5,3,年上,黑道;组织首领,禁忌之恋;宿命,白切黑,3,5,4,4.5,3.5,5,5,4.5,禁断感;强情绪浓度;唯一例外,
C017,红华,9 R.I.P.,9 R.I.P.,攻略角色,3,3.5,,,,,,4.5,2.5,3.5,4,2.5,1.5,4,沉稳;责任感强,2,3,3.5,,幽灵,并肩作战,可靠系,3.5,2.5,4,2.5,2,2.5,5,1.5,陪伴型;纯爱,
C018,Kaize Ozma,OVER REQUIEMZ,OVER REQUIEMZ,攻略角色,3,3,,,,,,4,1.5,2.5,3.5,2,2,3,温柔;老实人,3,4.5,4,,王子,宿命,病弱,2.5,3,4,4,3,2,4,3,纯爱,
C019,缘,奥林匹亚的晚宴,奥林匹亚的晚宴,攻略角色,4,3.5,长发,紫发,,,美人系;色气,3.5,3.5,2.5,4,4,4,3,钓系;腹黑;温柔,4,4,4,年上,经营者,宿命,色气系;表面轻浮实则认真,4.5,3.5,4,3,3.5,4.5,4,3.5,拉扯型;强情绪浓度,
C020,Shin,AMNESIA,AMNESIA,攻略角色,2.5,3,短发,红发,,,少年感,2.5,2,2.5,3,2.5,2.5,4,毒舌;傲娇;理性;嘴硬心软,2.5,2.5,4,年下,学生,青梅竹马;从朋友到恋人,猫系,4.5,4,4,3,4,3.5,4,3,纯爱,
C021,Vilio,绚烂传说马戏团,绚烂传说马戏团,攻略角色,2.5,4,,,,,,4,4.5,4,3,4,1.5,4,阳光;直球;天然,3,2.5,3.5,,人外,宿命;并肩作战,犬系;纯爱战士,3.5,2,4,2.5,2,2.5,4.5,1.5,陪伴型;纯爱,
C022,光森壱哉,百密一疏少女心,百密一疏少女心,攻略角色,4,3,,,,,精英感;成年人感,4,4,4.5,2,4,3.5,2,钓系;感性;自卑,3,3.5,4,年上,,契约关系,表面轻浮实则认真;脆弱感,5,4,3,5,4,5,4,3.5,高亲密需求;拉扯型;强情绪浓度,
C023,淡雪,璃梦泡影之世外浮城,璃梦泡影之世外浮城,攻略角色,3.5,3.5,,,,,,4,2.5,2,4.5,2.5,3.5,4,沉稳;责任感强;理性,3,3,3,,侍从,主仆;禁忌之恋,忠犬;可靠系,2,4,4,3,3.5,3.5,5,2.5,慢热;陪伴型;纯爱;禁断感,
C024,Allan Melville,Cupid Parasite,Cupid Parasite,攻略角色,4,3.5,长发,紫发,垂眼,耳饰,色气;神秘感,3.5,4,3,4,3.5,4.5,3.5,钓系;腹黑,3.5,4.5,4,年上,普通社会人,宿命,色气系;表面轻浮实则认真,4.5,4,4,4,3.5,4.5,5,3,强情绪浓度;唯一例外,
C025,平重衡,毘卢遮那战姬,毘卢遮那战姬,攻略角色,2.5,4,中长发,金发,锐利眼,耳饰,贵气;野性,2,4.5,4,2,3,2,2,强势;疯批,4.5,2,3.5,年下,贵族,敌对恋爱,危险系,4.5,4.5,3,4,4,4,4,4,拉扯型;强情绪浓度,
C026,YOFY,SympathyKiss,SympathyKiss,攻略角色,2.5,2.5,短发,蓝发,细长眼,耳饰,少年感;神秘感,2.5,1.5,2,2.5,2.5,3.5,1.5,社恐;偏执;自卑,4,4,4,年下,程序员,,病娇;弟系,4,5,3,5,4.5,4,4,4.5,焦虑型依恋;高亲密需求;强情绪浓度,
C027,终夜,CLOCK ZERO,CLOCK ZERO,攻略角色,2,2.5,中长发,紫发,,,美人系;神秘感,3.5,1.5,1.5,3.5,2,2,3.5,沉稳;纯情,2.5,4,3.5,同龄,学生,宿命,,2,3,4,3.5,2.5,3,5,2,克制型;纯爱,
C028,赫泽尔,灾厄黑龙与谎言公主,灾厄黑龙与谎言公主,攻略角色,3.5,4.5,,,,,,2.5,3.5,3,3,4,3,3,钓系,4.5,3,4,,人外,敌对恋爱,危险系;表面轻浮实则认真,3,4,3.5,4,3.5,4,4.5,3.5,拉扯型;强情绪浓度,
C029,鹭泽累,冷然之天秤,冷然之天秤,攻略角色,2.5,2.5,,,,,,4,3,3.5,3.5,3,3.5,2.5,温柔;理性,3,4.5,3,,学生,,神秘系,3,4,3.5,4.5,3.5,4.5,4,3,拉扯型;强情绪浓度,
C030,小菊,天狱乱斗,天狱乱斗,攻略角色,2.5,3,,,,,,4,4.5,4.5,3,4,2,3.5,阳光;感性,3,2,3,,,并肩作战,犬系;可靠系,3.5,2.5,4,3,2.5,2,4,1.5,陪伴型;纯爱,
C031,濑见季继,第六妖守,第六妖守,攻略角色,4,3.5,,,,,,3.5,4,3,4.5,4,4,4.5,沉稳;责任感强;腹黑,2,3,3.5,年上;上司,普通社会人,并肩作战,可靠系;人夫感,3.5,2.5,3.5,2,2.5,2.5,3.5,2.5,成年人恋爱;陪伴型,
C032,Mathis Claude,终远的威尔修,终远的威尔修,攻略角色,1.5,1.5,短发,特殊发色,圆眼,,少年感;病弱感,3.5,1.5,2.5,2,2,2,1.5,社恐;乖巧;纯情,2.5,3.5,3.5,年下,普通社会人,救赎,弟系;脆弱感,2,2.5,3,4,2.5,3.5,4,2,慢热;纯爱,少年感
C033,Toma,AMNESIA: Memories,AMNESIA,攻略角色,3,3.5,短发,金发,温柔眼,,柔和感,3.5,3,3,3,2.5,4,2,温柔;偏执;表里不一,4,4,4.5,年上,学生,青梅竹马;救赎,黑切白;危险系,4,5,5,4.5,4.5,4,5,5,高亲密需求;强情绪浓度,青梅竹马
C034,Kuroba,奥林匹亚的晚宴,奥林匹亚的晚宴,攻略角色,4,4,短发,黑发,温柔眼,黑皮,成年人感;清爽,4,4.5,4,4,4,3.5,4,社牛;阳光;责任感强,2.5,2.5,2.5,年上,医生,并肩作战,人夫感;可靠系,4.5,3,3.5,2.5,3,2.5,4,2,成年人恋爱;陪伴型,医生
C035,Victor Frankenstein,Code:Realize ～创世的姬君～,Code:Realize,攻略角色,3,2.5,短发,特殊发色,温柔眼,眼镜,柔和感;无害感,5,2.5,3,4,2.5,2.5,3.5,温柔;理性;责任感强,1.5,2.5,2.5,年上,学者,并肩作战,可靠系,2.5,1.5,3.5,2.5,1.5,2,4.5,1,安全型恋爱;纯爱,科学家
C036,Noritsune Taira,毘卢遮那战姬 ～源平飞花梦想～,毘卢遮那战姬,攻略角色,2,3,短发,红发,锐利眼,,少年感;野性,3,4,4,2.5,3,1.5,3,直球;自信;纯情,3.5,1.5,2,同龄,军人,敌对恋爱;并肩作战,纯爱战士,3.5,2.5,3,2,2.5,3.5,3.5,1.5,双强;纯爱,武将
C037,Zen Sorfield,even if TEMPEST,even if TEMPEST,攻略角色,4,4.5,短发,特殊发色,温柔眼,,成年人感;清爽,4.5,3.5,3.5,4.5,3.5,2,4.5,温柔;沉稳;责任感强,2.5,2,2.5,年上,骑士,并肩作战;保护者×被保护者,保护者;可靠系,4,2,4.5,1.5,2,1.5,4.5,1,安全型恋爱;陪伴型,骑士
C038,Lucas Proust,终远的威尔修,终远的威尔修,攻略角色,4,3,长发,特殊发色,温柔眼,,美人系;柔和感,4.5,2.5,3,3.5,2,3.5,2.5,温柔;阴郁,4,4,4,年上,教师,救赎,救赎系;危险系,3,3.5,4,3.5,3,4,4.5,3,拉扯型;强情绪浓度,教师
C039,Ukyo,AMNESIA: Memories,AMNESIA,攻略角色,3.5,3,长发,绿发,异瞳,,神秘感;美人系,3,2,3,3,2.5,3,1.5,表里不一;阴郁,4.5,5,4.5,年上,普通社会人,宿命;救赎,神秘系;危险系,3.5,3,4,4,2.5,5,5,2.5,唯一例外;拉扯型,摄影
C040,Ryuki F. Keisaiin,Cupid Parasite,Cupid Parasite,攻略角色,2,2,短发,特殊发色,锐利眼,,少年感;贵气,2.5,3,3.5,3,3,2.5,3.5,毒舌;傲娇;自信,1,2,4,年下,艺术家,欢喜冤家,高岭之花;弟系,2.5,2,2.5,2.5,2.5,3.5,3.5,2.5,慢热;纯爱,设计师
C041,Shelby Snail,Cupid Parasite,Cupid Parasite,攻略角色,4.5,3.5,短发,银发,细长眼,,成年人感;精英感,3.5,3,2.5,4.5,3,3.5,4,沉稳;理性;责任感强,1.5,2.5,3,年上;上司,经营者,契约关系,人夫感;可靠系,3.5,2,3,1.5,2,2.5,4,2,成年人恋爱;日久生情,CEO
C042,Dante Falzone,虔诚之花的晚钟,虔诚之花的晚钟,攻略角色,3.5,3.5,短发,金发,锐利眼,,贵气;禁欲感,3,1.5,1.5,4.5,1.5,3.5,4.5,沉稳;清冷;责任感强,4,3.5,3.5,年上,黑道;组织首领,保护者×被保护者,高岭之花;可靠系,2.5,3,4,2,2.5,3.5,5,2.5,克制型;纯爱,首领
C043,Saint-Germain,Code:Realize ～创世的姬君～,Code:Realize,攻略角色,4,3,中长发,白发,细长眼,,美人系;神秘感;贵气,3.5,3,2.5,4.5,3,4.5,4,温柔;腹黑;沉稳,4,4.5,4,年上,贵族,救赎,神秘系;救赎系,3.5,3,4,2.5,2.5,4,5,3,克制型;强情绪浓度,伯爵
C044,Tokisada Amakusa,奥林匹亚的晚宴,奥林匹亚的晚宴,攻略角色,2,2.5,短发,特殊发色,圆眼,,少年感;清爽,4,4,4,2.5,3.5,2.5,2.5,阳光;直球;纯情,3,3.5,3.5,年下,普通社会人,天降,弟系;纯爱战士,4,3,3.5,3.5,3,3.5,4,2,纯爱;强情绪浓度,少年
C045,Gill Lovecraft,Cupid Parasite,Cupid Parasite,攻略角色,3,2.5,短发,棕发,温柔眼,眼镜,柔和感;无害感,4.5,3,5,2.5,4,1.5,1.5,温柔;恋爱脑;老实人,1.5,1,2.5,年上,普通社会人,单向暗恋;从朋友到恋人,犬系;忠犬,3.5,4,4,5,4,2,5,2.5,高亲密需求;纯爱,长期暗恋
C046,Lucien Neuschburn,even if TEMPEST,even if TEMPEST,攻略角色,2.5,2.5,短发,金发,温柔眼,,少年感;贵气,4,2.5,2.5,3,2,2.5,3,温柔;社恐;责任感强,2,3,3,年下,王子,单向暗恋,纯爱战士,1.5,1.5,3,2.5,1.5,3,4,1,克制型;纯爱,王子
C047,Scien Brofiise,终远的威尔修,终远的威尔修,攻略角色,4.5,4,短发,特殊发色,锐利眼,,成年人感;精英感;禁欲感,1.5,2.5,1.5,4.5,2.5,4.5,4.5,清冷;理性;自信,3.5,3.5,3.5,年上;上司,学者,并肩作战,天才;高岭之花,3.5,2.5,2.5,1,1.5,3.5,3.5,3,克制型;成年人恋爱,研究者
C048,Abraham Van Helsing,Code:Realize ～创世的姬君～,Code:Realize,攻略角色,4.5,4.5,短发,银发,锐利眼,眼镜,成年人感;禁欲感,2,2,1.5,4.5,1.5,3,4,清冷;沉稳;责任感强,4,3,3.5,年上,军人,并肩作战;救赎,战损;可靠系,2.5,2,4,1.5,1.5,4,4.5,2,克制型;拉扯型,战士
C049,Tomomori Taira,毘卢遮那战姬 ～源平飞花梦想～,毘卢遮那战姬,攻略角色,4,4,长发,白发,锐利眼,,美人系;危险感;色气,1.5,3.5,4,3,3.5,4.5,2.5,腹黑;强势;自信,5,3.5,2.5,年上,军人,敌对恋爱;相爱相杀,危险系;强者,5,4.5,2.5,3,3.5,4.5,4,4.5,拉扯型;强情绪浓度,武将
C050,Ikki,AMNESIA: Memories,AMNESIA,攻略角色,3.5,3,短发,特殊发色,桃花眼,,色气;精英感,3.5,5,3.5,3.5,4.5,4,4,社牛;钓系;自信,2,3,3.5,年上,学生,契约关系,色气系;表面轻浮实则认真,4,3,3,2.5,3.5,3.5,4,2,日久生情;成年人恋爱,社交型
C051,Ankou,终远的威尔修,终远的威尔修,攻略角色,3.5,3,长发,特殊发色,细长眼,,神秘感;美人系,3.5,1.5,2,4,2.5,4,3.5,清冷;沉稳;偏执,3.5,5,4,年上,普通社会人,宿命;救赎,神秘系;救赎系,3,3.5,4.5,3.5,2.5,4.5,5,2.5,强情绪浓度,神秘引路人
C052,Raul Aconite,Cupid Parasite,Cupid Parasite,攻略角色,3.5,4,短发,特殊发色,锐利眼,,野性;色气,3.5,5,4.5,2.5,5,2.5,3.5,社牛;阳光;中二,1.5,1.5,2,年上,艺术家,天降,表面轻浮实则认真,4,2,2.5,2,2,1.5,3,1.5,成年人恋爱,电影迷
C053,Riku,奥林匹亚的晚宴,奥林匹亚的晚宴,攻略角色,2.5,3,中长发,蓝发,锐利眼,,清冷感;美人系,2.5,1.5,2,3,1.5,2.5,4,清冷;嘴硬心软;责任感强,2.5,2.5,3,年上,军人,欢喜冤家,高岭之花,2.5,2,3,2,2,4,4,2,慢热;克制型,纪律型
C054,Shion Mayuzumi,Variable Barricade,Variable Barricade,攻略角色,3,2,中长发,白发,细长眼,,美人系;无害感,3,2,2.5,3,2.5,3.5,4,沉稳;理性;钓系,1,2,2,年上,普通社会人,契约关系,猫系;高岭之花,2,2,2.5,2,2,2,3,1.5,成年人恋爱,生活从容
C055,Nayuta Yagami,Variable Barricade,Variable Barricade,攻略角色,2.5,4,短发,特殊发色,圆眼,,少年感;野性,4,5,5,1.5,4.5,1,2.5,天然;老实人;中二,1,1,2,年下,普通社会人,天降,犬系;弟系,4,2,2.5,4,2,1.5,3.5,1,高亲密需求,成长型
C056,Taiga Isurugi,Variable Barricade,Variable Barricade,攻略角色,4,4,短发,黑发,锐利眼,,成年人感;野性,2.5,4,4,2.5,4,3.5,3,毒舌;直球;强势,2,1.5,2,年上,普通社会人,欢喜冤家,强者,3.5,2.5,2.5,2,2.5,3,3,2,成年人恋爱,现实派
C057,Suzu Orimaki,Jack Jeanne,Jack Jeanne,攻略角色,2,4,短发,红发,圆眼,,少年感;清爽,4.5,5,4.5,2.5,4,1.5,4,阳光;直球;老实人,1,1,2,同龄,学生,从朋友到恋人,犬系;纯爱战士,3.5,1.5,2.5,2,1.5,1.5,3.5,1,陪伴型,舞台伙伴
C058,Kai Mutsumi,Jack Jeanne,Jack Jeanne,攻略角色,4.5,4.5,短发,黑发,温柔眼,,成年人感;禁欲感,4,1.5,1.5,4.5,1.5,2,5,沉稳;温柔;责任感强,1,1.5,2,前辈,学生,并肩作战,可靠系,2,1.5,3,1.5,1.5,1.5,4,1,慢热;陪伴型,舞台前辈
C059,Sarafumi Takashina,Jack Jeanne,Jack Jeanne,攻略角色,3.5,2.5,中长发,特殊发色,细长眼,,美人系;精英感,3.5,4,4,4,4,3.5,4,自信;理性;社牛,1,2,2,前辈,学生,并肩作战,高岭之花;天才,3,2,2.5,1.5,2,2,3.5,1.5,陪伴型,舞台精英
C060,Hira,第六妖守,第六妖守,攻略角色,4,4,长发,白发,细长眼,,美人系;清冷感,2,1.5,1.5,3.5,2.5,3,4,清冷;阴郁;理性,3,3.5,2.5,年上,妖怪,天降,神秘系;高岭之花,1.5,1.5,2,1.5,1.5,3,2.5,1.5,慢热;克制型,隐居型
C061,Shiratsuki,第六妖守,第六妖守,攻略角色,1.5,1.5,短发,白发,猫系眼,兽耳;兽尾,少年感;无害感,3.5,4.5,4,2,4,3,2.5,中二;天然;自信,2,3,3,年下,妖怪,天降,猫系;弟系,4,2.5,2.5,3,2.5,3,3.5,2,陪伴型,少年妖怪
C062,Noel Valmore,Wand of Fortune R,Wand of Fortune,攻略角色,2.5,2.5,短发,特殊发色,圆眼,,少年感;贵气,3.5,4,4,2,3.5,1.5,2.5,傲娇;中二;纯情,1,1.5,2,同龄,学生,欢喜冤家,纯爱战士;弟系,2.5,2,2.5,2.5,2,2.5,3.5,1.5,慢热,魔法学生
C063,Est Rinaudo,Wand of Fortune R,Wand of Fortune,攻略角色,1.5,1.5,短发,特殊发色,锐利眼,,少年感;禁欲感,2,1,1.5,3.5,1,4,4,清冷;毒舌;理性,2.5,4,3.5,年下,学生,救赎,高岭之花;天才,1.5,1.5,3,2,1.5,4,4,2.5,慢热;克制型,魔法学生
C064,Alvaro Garay,Wand of Fortune R,Wand of Fortune,攻略角色,3.5,3,短发,黑发,细长眼,,色气;神秘感,2.5,4,3.5,3,4.5,5,4,腹黑;钓系;自信,4,4.5,2.5,年上,学生,共犯,危险系;表面轻浮实则认真,4,2,2,1.5,1.5,4,2.5,3,烂人真心,博弈型
C065,Cinderella,大正对称爱丽丝 episode I,大正对称爱丽丝,攻略角色,3.5,3,短发,金发,桃花眼,,贵气;清爽,2.5,4,4,2,4,2,2,傲娇;自信;嘴硬心软,1,1.5,2,年上,普通社会人,欢喜冤家,表面轻浮实则认真,3.5,2.5,2.5,3,3,3,3,2.5,成年人恋爱,成长型
C066,Red Riding Hood,大正对称爱丽丝 episode I,大正对称爱丽丝,攻略角色,2.5,3,短发,红发,锐利眼,,少年感;禁欲感,3.5,1.5,1.5,3.5,1.5,2,4.5,社恐;纯情;责任感强,2,2,2,年上,警察,保护者×被保护者,纯爱战士,1.5,1.5,3,1.5,1.5,3.5,4,1,慢热;克制型,害羞型
C067,Shogo Ukai,冷然之天秤 帝都幻惑绮谭,冷然之天秤,攻略角色,2.5,3,短发,特殊发色,圆眼,,少年感;贵气,3,4,4,2,3,2,2.5,傲娇;直球;自信,1.5,2,2,同龄,学生,欢喜冤家,弟系,3,2,2.5,2.5,2,2.5,3,1.5,陪伴型,少爷
C068,Shizuru Migiwa,冷然之天秤 帝都幻惑绮谭,冷然之天秤,攻略角色,4,3,中长发,特殊发色,细长眼,,成年人感;色气,3,4,3.5,3.5,4,3.5,3.5,钓系;社牛;理性,2,3,2.5,年上,艺术家,天降,色气系,4,2,2.5,1.5,2,2.5,3,1.5,成年人恋爱,作家
C069,Himeutsugi,花合朔 -姬空木篇-,花合朔,攻略角色,3,2.5,中长发,白发,温柔眼,,美人系;柔和感,4,4,4,3,3.5,4,2,温柔;腹黑;偏执,3.5,4,4,同龄,学生,青梅竹马,危险系;神秘系,4,4,3.5,4,4,5,5,3.5,强情绪浓度;拉扯型,校园
C070,Mizuchi,花合朔 -蛟篇-,花合朔,攻略角色,3,3,中长发,黑发,锐利眼,,清冷感;禁欲感,3.5,2,2,4,1.5,2,4,清冷;责任感强;纯情,2,2.5,2,同龄,学生,青梅竹马,高岭之花;纯爱战士,2,2.5,3.5,2,2,4,4.5,2,慢热;克制型,校园
C071,Riichiro Kaga,CLOCK ZERO ～终焉之一秒～,CLOCK ZERO,攻略角色,2,2.5,短发,黑发,锐利眼,,少年感;清冷感,2.5,1.5,1.5,3,1.5,3,4,清冷;理性;嘴硬心软,2.5,3,2,同龄,学生,青梅竹马,高岭之花,1.5,2,2.5,2,1.5,4,4,2,慢热;克制型,青梅竹马
C072,Madoka Hanabusa,CLOCK ZERO ～终焉之一秒～,CLOCK ZERO,攻略角色,2,2.5,短发,特殊发色,细长眼,,少年感;神秘感,3,3.5,3.5,2.5,3,4,2.5,腹黑;自信;感性,3,4,3.5,同龄,学生,宿命,天才;神秘系,3,3.5,3,3,3.5,4,4,3,拉扯型,成长型
C073,Toranosuke Saionji,CLOCK ZERO ～终焉之一秒～,CLOCK ZERO,攻略角色,2.5,4,短发,红发,锐利眼,,少年感;野性,2.5,4,4,2,3.5,2,2,强势;直球;自信,3.5,2,2,同龄,学生,欢喜冤家,强者,4,3,2.5,2,3,3.5,3,2.5,陪伴型,成长型
C074,Shunsou Hishida,明治东京恋伽,明治东京恋伽,攻略角色,2.5,2,短发,黑发,锐利眼,,少年感;清冷感,2.5,1.5,2,2.5,1.5,2,3,社恐;清冷;感性,1,2.5,2,同龄,艺术家,从朋友到恋人,高岭之花,2,1.5,2,1.5,1.5,3,3,1,慢热,画家
C075,Ougai Mori,明治东京恋伽,明治东京恋伽,攻略角色,5,3.5,短发,黑发,细长眼,,成年人感;精英感,3.5,4,3.5,5,3.5,4,5,沉稳;理性;自信,1.5,2.5,2,年上,医生,天降,人夫感;天才,4,2,2.5,1.5,2,2,3,2,成年人恋爱,文豪
C076,Yakumo Koizumi,明治东京恋伽,明治东京恋伽,攻略角色,4,3.5,短发,金发,温柔眼,,成年人感;清爽,4,5,4.5,3.5,4.5,3,4,社牛;阳光;感性,1.5,3,2,年上,学者,天降,表面轻浮实则认真,4,2,2.5,2,2,2,3,1.5,成年人恋爱,民俗学者
C077,Mitsuki Saotome,SympathyKiss 共鸣之吻,SympathyKiss,攻略角色,3,2.5,短发,特殊发色,细长眼,,清爽;精英感,3,3,2.5,3,3,3.5,3.5,理性;沉稳;自信,1,2,2,同龄,普通社会人,并肩作战,可靠系,2.5,1.5,2,1.5,1.5,2.5,3,1.5,成年人恋爱,职场
C078,Nori Tainaka,SympathyKiss 共鸣之吻,SympathyKiss,攻略角色,3.5,3,短发,棕发,温柔眼,,成年人感;清爽,3.5,4,4,3,4,3,3.5,社牛;温柔;感性,1,1.5,2,年上,普通社会人,天降,人夫感,3.5,2,2,1.5,2,2,2.5,1.5,成年人恋爱,轻关系
