"character_id","character_name","game_id","game","candidate_tag_1","candidate_tag_2","candidate_tag_3","candidate_tag_4","candidate_tag_5","candidate_tag_6","tag_1","tag_2","tag_3","tag_1_type","tag_2_type","tag_3_type","annotation_source","evidence_url","evidence_summary","confidence","qa_risk","qa_reason","status","spoiler_sensitive","new_tag_proposal","review_action","review_note"
"C236","Adage","G062","Steam Prison","冷感","理性沉稳","温柔","慢热","低表达","","冷感","理性沉稳","慢热","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.hunex.co.jp/steamprison/nsw/en/characters.html","情绪表达淡薄但实际关怀他人，慢热最贴切。","A","LOW","","AUTO_PASS","false","","",""
"C237","Ines Heinrich Heine","G062","Steam Prison","成熟可靠","强者感","理性沉稳","强守护","稳定恋爱","","成熟可靠","强者感","强守护","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.hunex.co.jp/steamprison/nsw/en/characters.html","严谨可靠的高阶军人，守护行动明确。","A","LOW","","AUTO_PASS","false","","",""
"C238","Yune Sekiei","G062","Steam Prison","非人感","神秘系","反差萌","高拉扯","宿命感","","宿命感","神秘系","高拉扯","ROMANCE","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.hunex.co.jp/steamprison/nsw/en/characters.html","庄严疏远又有孩童反差，关系解释涉及背景揭示。","HUMAN_CONFIRMED","LOW","","HUMAN_CALIBRATED","false","","REPLACE 非人感 → 宿命感;JUSTIFIED_1_SELF_2_ROMANCE;SPOILER_SAFE","Reviewer-confirmed public-facing Core Tags"
"C239","Fin Euclase","G062","Steam Prison","温柔","脆弱感","成熟可靠","高奉献","高依赖","","温柔","脆弱感","高奉献","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.hunex.co.jp/steamprison/nsw/en/characters.html","温和忠诚且承受强烈压力，高奉献比稳定关系更核心。","A","LOW","","AUTO_PASS","false","","",""
"C240","Gekkamaru","G063","百花百狼 ～战国忍法帖～","成熟可靠","温柔","强者感","强守护","高奉献","","成熟可靠","温柔","强守护","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.d3p.co.jp/hyakka/","可靠温柔的护卫型角色，守护是首要关系信号。","A","LOW","","AUTO_PASS","false","","",""
"C241","Kuroyuki","G063","百花百狼 ～战国忍法帖～","少年感","腹黑","脆弱感","高依赖","强占有","","少年感","腹黑","高依赖","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.d3p.co.jp/hyakka/","少年外表下有策略性，依恋需求构成关系核心。","A","LOW","","AUTO_PASS","false","","",""
"C242","Chojiro Momochi","G063","百花百狼 ～战国忍法帖～","冷感","成熟可靠","强者感","高拉扯","低表达","","冷感","成熟可靠","高拉扯","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.d3p.co.jp/hyakka/","克制可靠且立场冲突强，关系张力突出。","A","LOW","","AUTO_PASS","false","","",""
"C243","Goemon Ishikawa","G063","百花百狼 ～战国忍法帖～","阳光","色气","强者感","直球主动","刺激型","","阳光","色气","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.d3p.co.jp/hyakka/","洒脱明快且富魅力，恋爱行动主动。","A","LOW","","AUTO_PASS","false","","",""
"C244","Hanzo Hattori","G063","百花百狼 ～战国忍法帖～","冷感","强者感","理性沉稳","陪伴成长","慢热","","冷感","强者感","陪伴成长","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.d3p.co.jp/hyakka/","寡言强大的忍者，通过同行训练推动双方成长。","A","LOW","","AUTO_PASS","false","","",""
"C245","Kazuma Kamikubo","G064","Lover Pretend","阳光","少年感","温柔","陪伴成长","稳定恋爱","","阳光","少年感","陪伴成长","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/lp/info/","青梅竹马式明快亲近感，关系重在共同成长。","A","LOW","","AUTO_PASS","false","","",""
"C246","Harumi Makino","G064","Lover Pretend","少年感","天然","温柔","直球主动","治愈系","","少年感","天然","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/lp/info/","年轻自然的亲和力鲜明，表达较直接。","A","LOW","","AUTO_PASS","false","","",""
"C247","Riku Nishijima","G064","Lover Pretend","精英感","腹黑","理性沉稳","高拉扯","慢热","","精英感","腹黑","高拉扯","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/lp/info/","职业精英外表下善于周旋，关系张力强。","A","LOW","","AUTO_PASS","false","","",""
"C248","Yukito Sena","G064","Lover Pretend","色气","阳光","反差萌","直球主动","刺激型","","色气","阳光","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/lp/info/","社交力与明星魅力突出，恋爱推进主动。","A","LOW","","AUTO_PASS","false","","",""
"C249","Asagi","G064","Lover Pretend","成熟可靠","神秘系","年上感","慢热","高拉扯","","成熟可靠","神秘系","慢热","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/lp/info/","成熟身份与神秘信息并存，核心 SELF 选择受剧情揭示影响。","HUMAN_CONFIRMED","LOW","","HUMAN_CALIBRATED","false","","KEEP_REVIEWER_FINAL","Reviewer-confirmed public-facing Core Tags"
"C250","レジス・ド・ルペルティエ","G065","冬园 Sacrifice","成熟可靠","温柔","精英感","稳定恋爱","强守护","","成熟可靠","温柔","稳定恋爱","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/fuyuzono/chara/","决断力强且关心国家与人民，温柔可靠是核心。","A","LOW","","AUTO_PASS","false","","",""
"C251","エリアス・ベルニエ","G065","冬园 Sacrifice","温柔","精英感","少年感","治愈系","稳定恋爱","","温柔","精英感","治愈系","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/fuyuzono/chara/","受人敬慕的神官，温柔与安抚体验突出。","A","LOW","","AUTO_PASS","false","","",""
"C252","ディラン・ギベール","G065","冬园 Sacrifice","冷感","精英感","理性沉稳","高拉扯","低表达","","冷感","精英感","高拉扯","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/fuyuzono/chara/","冷彻宰相为任务不择手段，关系张力高。","A","LOW","","AUTO_PASS","false","","",""
"C253","オスカー・シルヴェストリ","G065","冬园 Sacrifice","成熟可靠","温柔","年上感","强守护","稳定恋爱","","成熟可靠","温柔","强守护","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/fuyuzono/chara/","自幼陪伴的骑士护卫，可靠守护最具辨识度。","A","LOW","","AUTO_PASS","false","","",""
"C254","イヴェール","G065","冬园 Sacrifice","非人感","神秘系","冷感","宿命感","高情绪浓度","","非人感","神秘系","宿命感","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/fuyuzono/chara/","冬之神身份明确，但浪漫体验的公开无剧透证据有限。","HUMAN_CONFIRMED","LOW","","HUMAN_CALIBRATED","false","","KEEP_REVIEWER_FINAL","Reviewer-confirmed public-facing Core Tags"
"C256","Alma","G066","BAD APPLE WARS","冷感","强者感","成熟可靠","强守护","低表达","","冷感","强者感","强守护","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/baw/chara/","沉默而意志坚定的领袖，行动以守护团队为主。","A","LOW","","AUTO_PASS","false","","",""
"C257","Higa","G066","BAD APPLE WARS","热血","傲娇","反差萌","直球主动","欢喜冤家","","热血","傲娇","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/baw/chara/","不良少年式高能与反差鲜明，感情行动直接。","A","LOW","","AUTO_PASS","false","","",""
"C258","Satoru","G066","BAD APPLE WARS","脆弱感","理性沉稳","少年感","救赎感","陪伴成长","","脆弱感","理性沉稳","救赎感","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/baw/chara/","被学习焦虑困住，关系价值主要来自理解与救赎。","A","LOW","","AUTO_PASS","false","","",""
"C259","Shikishima","G066","BAD APPLE WARS","神秘系","天然","少年感","治愈系","慢热","","神秘系","天然","治愈系","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/baw/chara/","神出鬼没、言行独特而平和，带来独特治愈感。","A","LOW","","AUTO_PASS","false","","",""
"C260","White Mask","G066","BAD APPLE WARS","冷感","神秘系","非人感","高拉扯","低表达","","冷感","神秘系","高拉扯","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/baw/chara/","面具与无感情表现明确，但更深身份不宜在公开标签展开。","HUMAN_CONFIRMED","LOW","","HUMAN_CALIBRATED","false","","KEEP_REVIEWER_FINAL;SPOILER_SAFE","Reviewer-confirmed public-facing Core Tags"
"C312","一十木音也","G072","歌之王子殿下 Repeat LOVE","阳光","少年感","少年感","直球主动","陪伴成长","","阳光","少年感","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.utapri.com/character.php","明亮直率、热爱运动与音乐，感情表达主动。","A","LOW","","HUMAN_CALIBRATED","false","","REPLACE","热血→少年感; strict heat threshold"
"C313","聖川真斗","G072","歌之王子殿下 Repeat LOVE","理性沉稳","成熟可靠","精英感","慢热","低表达","","理性沉稳","成熟可靠","慢热","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.utapri.com/character.php","认真守礼且克制，恋爱需要逐步打开表达。","A","LOW","","AUTO_PASS","false","","",""
"C314","四ノ宮那月","G072","歌之王子殿下 Repeat LOVE","温柔","天然","反差萌","治愈系","高情绪浓度","","温柔","反差萌","治愈系","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.utapri.com/character.php","温厚浪漫与显著反差并存，温柔治愈是主体验。","A","LOW","","AUTO_PASS","false","","",""
"C315","一ノ瀬トキヤ","G072","歌之王子殿下 Repeat LOVE","冷感","精英感","热血","高拉扯","慢热","","冷感","精英感","高拉扯","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.utapri.com/character.php","外冷自律但对歌唱极有热情，关系张力清晰。","A","LOW","","AUTO_PASS","false","","",""
"C316","神宮寺レン","G072","歌之王子殿下 Repeat LOVE","色气","年上感","精英感","直球主动","高情绪浓度","","色气","年上感","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.utapri.com/character.php","成熟会调情且表达主动，浪漫魅力高度可识别。","A","LOW","","AUTO_PASS","false","","",""
"C317","来栖翔","G072","歌之王子殿下 Repeat LOVE","傲娇","少年感","热血","直球主动","陪伴成长","","傲娇","少年感","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.utapri.com/character.php","少年气、好胜心与直接表达共同构成核心魅力。","A","LOW","","AUTO_PASS","false","","",""
"C318","愛島セシル","G072","歌之王子殿下 Repeat LOVE","天然","少年感","非人感","直球主动","宿命感","","天然","少年感","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.utapri.com/character.php","天真直率且文化反差明显，恋爱表达直接。","A","LOW","","AUTO_PASS","false","","",""
